question,answer
"dok saya ada benjolan di bagian tengah paha sebelah kiri saya, sudah sekitar satu bulan ini saya rasakan, namun tidak terasa sakit dan tidak mengganggu gerak saya kirakira itu apa ya dok","alo, saya dr. tirtawati wijaya. terima kasih sudah bertanya ke alodokter.benjolan di paha yang tidak nyeri dapat disebabkan beberapa kemungkinan, antara lainlipoma bukan lymphomakistawartabses biasanya disertai nyerikanker  soft tissue sarcoma sangat jarangberbagai kondisi berbeda ini membutuhkan penanganan yang berbeda, namun pada umumnya bisa tidak dilakukan apapun bila pasien tidak mengalami keluhan, kecuali kanker. jadi yang perlu dilakukan saat ini adalah memastikan apakah benjolan yang anda derita merupakan kanker atau bukan."
"saya tadi lagi bab, dan anus saya itu terasa gatal dok.. pas lagi cebok, saya baru sadar juga kalo di anus saya itu ada benjolan, saya kurang paham dok sejak kapan itu benjolannya muncul, tapi saya malah jadi khawatir ini dok.. penyebabnya apa ya dok anus yg terasa gatal hingga muncul benjolan",benjolan di anus kemungkinan merupakan hemoroid atau disebut dengan wasir. wasir merupakan pembengkakan atau pembesaran pada pembuluh darah di bagian akhir usus besar dan anus. penyebab terjadinya wasir atau hemorid di duga akibat tingginya tekanan pada aliran darah di dalam atau di sekitar anus yang dimana tekanan inilah yang menyebabkan pembengkakan pada dan peradangan sehingga membentuk benjolan.
"dokter, di hidung saya dulu didiagnosis ada polip, itu udah di operasi dari lama, nah sekarang2 ini saya ngerasain kok hidung saya ini mencium bau yg gak enak bgt, kaya bau busuk tp kadang bau amis. trus nyeri sampe deket mata dan dahi jg. ini kirakira penyebabnya apa sih dokter",a.
"siang dok, saya mau tanya. saya kan saat ini sepertinya saya kena biduran, karna di badan saya muncul ruam merah yg terasa gatal dok.. tapi saya itu lagi menyusui dokter, obat apa ya dok yg aman saya konsumsi buat mengatasi biduran yg saya alami ini","biduran dalam dunia medis disebut urtikaria dimana kondis ini ditandai dengan bentol kemerahan disertai rasa gatal. biduran bisa terjadi di area mana saja termasuk wajah, leher, telinga hingga seluruh tubuh. pada umumnya biduran tergolongan ringan dan dapat sembuh dengan sendirinya setelah beberapa jam atau setelah konsumsi obatobatan. biduran merupakan reaksi alergi terhadap benda atau zat asing yang menyebabkan sistem kekebalan tubuh mengeluarkan histamin, histamin inilah yang menyebabkan munculnya tanda dan gejala biduran."
"gini dok, saya perempuan 18 tahun yg baaru mau mulai rawat kulit wajah. saya belum berani pake produk yg mengandung bahan kimia, saya mau mulai dengan masker aja dok, yg berasal dari bahan alami. keluhan wajah saya itu bruntusan disertai dengan pori yg besar.. tolong dong dok rekomendasi masker alami apa yg bisa saya gunakan","alo, terima kasih atas pertanyaannya untuk alodokter.pada kondisi kulit yang mudah mengalami bruntusan dengan poripori wajah yang tampak besar, maka diperlukan perawatan kulit yang sesuai dengan jenis kulit tersebut, dimana tetap memerlukan rangkaian skincare dasar harian berupa sabun pembersih wajah dan tabir surya sesuai jenis kulit."
"sore dok, saya lagi nyoba skincare yaitu serum, tandatanda kulit kita tidak cocok dengan serum yg sedang dicoba itu apa ya dok apakah wajah merah merupakan tanda gak cocok","serum wajah merupakan produk perawatan kulit yang kaya akan nutrisi dengan sifatnya yang ringan di wajah dan mudah menyerap. serum wajah menjadi salah satu produk perawatan kulit yang banyak digemari. ada berbagai manfaat serum wajah yang rutin menggunakannya mulai dari melembapkan, menghilangkan noda hitam dan mengatasi kerutan. penggunaan serum wajah sebaiknya sesuai dengan jenis kulit."
"alodokter, dok saya wanita usia 34 th kan mcu berkala, hasil kreatinin saya tinggi dok, sebesar 4,4 dulu 3. ini bagaimana ya dok cara menurunkan kadar kreatinin saya apakah kalau kreatinin saya tinggi itu ada penyakit2 tertentu dok","kreatinin adalah zat sampah dalam darah yang diproduksi oleh jaringan otot ketika bergerak. sewajarnya, kreatinin akan disaring oleh ginjal lantas dibuang melalui urin. hal inilah yang menyebabkan kadarnya dalam darah akan rendah, yakni berkisar antara 0,8 hingga 1,2 mgdl saja."
"alodokter, dok saya mau nanya saya wanita usia 22 th, saya ada masalah wajah nih dok. wajah saya kusam, beruntusan dan ada flek hitamnya. soalnya saya kerja di outdoor. saya udah coba produk skincare bermacammacam, namun gak mengatasi masalah saya, kirakira tips apa ya dok agar kulit saya putih bersih dan glowing","terima kasih atas pertanyaannya.untuk mendapatkan kulit yang cerah diperlukan perawatan kulit yang dilakukan tidak hanya menggunakan produk perawatan kulit, namun juga perlu dilakukan perubahan gaya hidup sehat. penyebab kulit kusam atau cerah dapat disebabkan karena berbagai hal seperti karena kulit yang kurang bersih, kemudian paparan sinar matahari yang sering, paparan udara kotorpolusidebu, minyak berlebih dan sebagainya."
dok jika kita konsumsi biji kopi secara rutin setiap hari apakah ada manfaatnya atau justru bahaya dok,"biji kopi diketahui mengandung kaya antioksidan, contohnya polifenol. selain itu, biji kopi juga mengandung kaya kalsium, natrium, lemak, dan nutrisi lainnya."
"dok sy sedang hamil 7 pekan anak pertama, spertinya sy mngalami peranakan turun krna sy mlihat di vagina sy mncul sesuatu yg mnutupi lobang vagina sy dan rasanya nyut2an, berdiri sperti vagina mau copot... solusinya apa dok apa ini wajar utk ibu hamil",alo. terimakasih telah bertanya kepada alodokter.keluhan nyeri seperti nyutnyutan pada vagina saat kehamilan dapat disebabkan oleh beberapa hal. kemungkinan penyebab perlu diketahui untuk mendapatkan penanganan yang tepat. beberapa hal yang mungkin menjadi penyebab yaitupertumbuhan janin.pelebaran serviks.peningkatan aliran darah.infeksi vagina.vagina kering.sedangkan keluhan benjolan sesuatu yang menutupi lubang vagina dapat disebabkankista bartholin.varises vagina.kutil kelamin.edema vulva.turun peranakan prolaps uteri.
"dok, saya seorang laki berumur 26 tahun, akhirakhir ini saya merasakan denyut jantung tidak beraturan irreguler dan itu membuat saya tidak nyaman, baik saat sedang kuliah maupun saat sedang mau tidur.. kirakira faktor apa saja yang bisa menyebabkan detak jantung tidak beraturan seperti hal yg saya alami ini dok","detak jantung yang tidak beraturan tanpa pemicu yang jelas bisa menandakan kerja jantung anda bermasalah. pemicu keluhan ini biasanya yaknikonsumsi kafein atau stimulan lain, kebiasaan merokok, pengaruh obat tertentustres atau cemas berlebihangangguan keseimbangan elektrolitfaktor lain, seperti riwayat serangan jantung, kardiomiopati, endokarditis, hipertensi, hipertiroidisme, gagal jantung kongestif, dan sebagainyasaran kami, anda periksalah langsung ke dokter jantung terdekat. pemeriksaan fisik, tes darah, rontgen, rekam jantung, dan tes penunjang lain bisa dokter lakukan jika perlu."
"mohon ijin nanya ya dokter, dok saya bulan kemaren sekitar 5 minggu lalu saya keguguran di kehamilan yang usianya baru trimester 1 5 minggu. biasanya siklus haid saya ini normal dan teratur dok, tapi bulan ini kok saya gak haid kenapa ini dok dan kemaren pas keguguran saya tidak kuret. kapan ya dok saya haid kembali","alo, selamat siangkeguguran ialah berhentinya kehamilan secara spontan saat usia kehamilan dibawah 20 minggu. keguguran dapat ditangani dengan beberapa hal seperti biarkan keluar secara alamiah, menggunakan obatan serta melakukan kuret jadi tidak semua keguguran perlu melakukan kuret ia. namun tidak ada salahnya ke dokter kandungan untuk melakukan pemeriksaan untuk memastikan bahwa jaringan sisa sudah keluar seluruhnya. secara umum kebanyakan wanita mengalami haid lagi 46 minggu setelah keguguran."
"dokter, saya mau nanya., kemaren kakak sepupu saya melahirkan bayi cewe, bb 2,9 kg dan tb 39 cm. bayinya lahir normal dan waktu kehamilannya jg normal dok, bukan bayi prematur., saya rada janggal dok soalnya bayi2 sebelah tb nya tidak segitu. saya mau nanya ke dokter yg menangani kakak saya, saya takut menyinggung dok saat kakak saya dengar. apakah bb dan tb bayi segitu bisa dikatakan normal dok soalnya dr ortu bayi tinggi2 dok. dan normalnya panjang bayi baru lahir itu berapa dokter","alo, terima kasih atas pertanyaannya untuk alodokter.berdasarkan who, bayi perempuan yang baru lahir normalnya memliki berat 2.83.7 kg dengan panjang badan 4751 cm, dan pada berat atau panjang badan yang kurang dari range normal tersebut, maka dikhawatirkan dapat disebabkan oleh kondisi medis tertentu."
"selamat siang dok, tante saya berusia 48 tahun meninggal dengan keadaan tidur mendengkur dan dibangunkan tidak bisa lagi.. kira2 kenapa ini, apakah terjadi pembuluh darah yg pecah saya baca di artikel seseorang bisa mati tbtb karena pecah pembuluh darah. mohon jawaban karena apa dan bagaimana mengetahui gejala awal atau pemeriksaan agar bisa menghindari hal tsb","otak adalah pusat pengaturan kerja beragam sistem organ dalam tubuh. pembuluh darah di otak yang pecah bisa membuat fungsi otak terganggu. pada kasus yang berat, dimana pembuluh darah yang terlibat cukup luas atau mengatur fungsi organ vital, maka dampaknya memang bisa sangat fatal, bisa menyebabkan kelumpuhan, gangguan pernapasan dan detak jantung, penurunan kesadaran, bahkan kematian."
"saya semenjak selesai leabaran nafsu makan saya makin meningkat. saya sehari makan biasanya 23 sendok, sekarang jadi makan banyak dokter. dan saya juga telat menstruasi, dan baru mencoba pake 1 testpack hasilnya garis 2 samar, apa ada kaitannya nafsu makan meningkat gegara saya hamil dokter","alo. terimakasih sudah mengajukan pertanyaan kepada alodokter.beberapa penyebab keluhan terlambat haid yaitumengalami stres.berat badan berlebih obesitas.berat badan turun drastis anoreksiaataubulimia.kebiasaan merokok.hormon prolaktinberlebih.efekpil kb.pcospolycystic ovary syndrome.penyakit kronis diabetesyang tidak terkontrol,penyakit celiac.gangguankelenjar tiroid.menopause dini.sedangkan beberapa gejala yang biasanya dirasakan ketika kehamilan awal adalahkonstipasi.hilangnya nafsu makan.suasana hati mudah berubah.lebih sering lelah.lebih sering buang air kecil."
"siang dok, saya ingin bertanya, 2 hari lalu istri saya makan buah durian.. keesokan harinya setelah makan durian istri saya keluar bercak darah sedikit sampai hari ini masih keluar berarti sudah 2 hari ini apakah itu tanda keguguran dok istri saya sedang hamil 7 bulan, dan ini anak pertama kami dok. saya takut istri dan kandungannya kenapa2","selamat sore, terima kasih telah bertanya di alodokter. durian memang sering dihindari oleh wanita hamil karena diduga dapat memicu terjadinya keguguran atau gangguan tertentu pada kehamilan, namun kenyataannya tidak demikian. sebenarnya tidak ada larangan mutlak bagi wanita hamil untuk mengonsumsi durian. selama dikonsumsi secara wajar, durian tetap memiliki kandungan nutrisi yang dapat menjadi manfaat bagi wanita hamil.terlepas daripada itu, keluarnya darah dari jalan lahir, terutama sudah berlangsung dua hari, tetap membutuhkan perhatian."
"sore dokter, dok saya sudah beberapa hari ini saya merasa rasa ngilu di tulang saya dok.. penyebabnya apa ya kira dok","alo,di bagian mana tulang terasa nyeri apakah nyeri hilang timbul atau terus menerus nyeri pada tulang dapat disebabkan karena beberapa kondisi berikut iniinfeksi, misalnya demam berdarah, chikungunya, malaria, leptospirosisfibromyalgiarheumatoid arthritismalnutrisi neurotopikneuropati periferosteoarthritispasca trauma  ciderakeganasanuntuk memastikan penyebab keluhan nyeri pada tulang, dibutuhkan pemeriksaan lebih lanjut baik itu dengan anamnesis, pemeriksaan fisik, maupun pemeriksaan penunjang misalnya dengan rontgen, tes darah, dan ct scan."
"dok, saya mau tanya. kedua mata saya minus, minusnya lumayan tinggi. sebelah kanan minus 7 dan kiri minus 6. padahal saat saya masuk sma mata saya masih minus 2, sekarang saya sudah kelas 12. saya harus gimana ya dok biar mata saya bisa normal. saya takut seperti kakak saya yg harus di operasi karena ada masalah di saraf retinanya.. mohon bantuannya dok. terima kasih","mata minus dalam ranah medis disebut dengan miopia rabun jauh. kondisi ini terjadi akibat kelengkungan bola mata, lensa, atau korneanya yang terlalu cembung, sehingga membuat bayangan suatu obyek yang letaknya jauh gagal dibiaskan tepat di retina, melainkan justru di depannya. hal ini membuat penglihatan terasa buram dan membatasi aktifitas penderitanya.minus mata yang bertambah cepat sebaiknya tidak dibiarkan begitu saja."
"perkenalkan dok saya pria usia 34 th, saya ada anggota keluarga yang memiliki emfisema, dia perokok berat dok. saya kebetulan serumah dgn beliau. saya jg perokok. saya mau nanya dok bagaimana cara mencegah penyakit emfisema ini dan apa saja faktor yang dapat memicu penyakit ini trims","terima kasih atas pertanyaannya.emsifema merupakan kerusakan yang terjadi pada alveolus paru yang menjadi tempat pertukaran oksigen dan karbondioksida saat bernapas. pada emfisema, kerusakan alveolus menyebabkan kapasitas paru untuk menghirup udara menjadi berkurang. penyebab dari emfisema yaitu karena iritasi paru dalam jangka panjang yaitu akibat asap rokok, polusi udara, serta paparan asap atau debu dari lingkungan.risiko emfisema dapat meningkat baik pada perokok aktif maupun pasif, bekerja di lingkungan tinggi polusi udara, usia gt40 tahun, atau riwayat ppok daam keluarga."
"selamat siang dok, saya sedang hamil 12 minggu.. kemarin saya makan pecel ayam di dekat rumah, saya diberikan lalapan mentah dan sambal juga dok.. saya makan lalapan mentahnya sedikit dan juga sambalnya.. kan katanya ibu hamil itu tidak boleh konsumsi makanan yg mentah... tapi saya sudah terlanjur makan lalapan mentah dan juga sambalnya dok.. sebenarnya ibu hamil itu boleh nggak sih makan lalapan mentah dan sambal dok jika boleh seberapa sering mohon penjelasannya dok.. terima kasih","konsumsi makanan mentah, termasuk berupa lalapan ataupun sambal, bagi ibu hamil memang tidak disarankan. sebab, makanan mentah amat berisiko terpapar substansi kimia misalnya pestisida, merkuri, formalin hingga mikroorganisme misalnya parasit, bakteri berbahaya, yang nantinya bisa mengganggu kesehatan anda maupun janin yang anda kandung. risiko bahaya ini akan lebih besar jika makanan mentah tersebut diolah tanpa dijaga kebersihannya dengan baik.tentu, tidak semua ibu hamil dan janinnya akan mengalami dampak buruk usai mengkonsumsi makanan mentah."
"permisi alodokter, dok mau tanya. saya tidak sedang meriang, demam tinggi ataupun sakit apapun. cuma saya ada riwayat penyakit diabetes dok. saya saat ini usianya 53 th. saya kerap mengalami tangan dan kaki dingin. ini kirakira apa penyebabnya dan apakah ada hubungannya dengan penyakit saya","alo. terimakasih telah bertanya kepada alodokter.keluhan yang alami berupa tangan dan kaki terasa dingin dapat disebabkan oleh berbagai hal. penyebab keluhan perlu diketahui untuk mendapatkan penanganan yang tepat.keluhan tersebut dapat disebabkan oleh berbagai hal sepertikurang aktif bergerak seperti sepanjang hari duduk di kursi atau terlalu banyak tidur.gangguan sirkulasi darah akibat merokok.menderita penyakit seperti anemia, diabetes melitus, hipotiroidisme, sindrom raynauldkondisi hipotermia, frostbite, disminore.faktor keturunan.konsumsi obat tertentu."
"selamat siang dok, dokter mau nanya,, saya sudah 2 tahun ini didiagnosa mengalami epilepsi. sudah menjalani pengobatan ke dokter spesialis dan minum obat rutin. setelah saya rasa saya tidak pernah kambuh kemabli, saya menghentikan pengobatannya. apakah epiepsi bisa sembuh dokter terimakasih","alo,epilepsi adalah suatu kondisi kejang berulang akibat gangguan pada pola aktivitas listrik di otak. pasien epilepsi dapat mengalami kejang dan pingsan secara berulang. epilepsi dapat didiagnosis dengan melakukan anamnesis, pemeriksaan fisik, dilanjutkan pemeriksaan penunjang dengan eeg, mri, ct scan, dan tes darah bila perlu.pengobatan epilepsi adalah dengan pemberian obatobatan tertentu, terapi stimulus saraf vagus, diet ketogenik, deep brain stimulation, hingga operasi bila perlu."
"assalamualaikum, dok saya mau tanya. sudah 3 hari ada bisul dan rasanya sakit banget tapi tidak ada matanya. bagaimana cara mengatasi bisul tanpa mata yg semakin nyeri dan besar apakah ada obat tradisional yg dapat mengatasinya","bisul terbentuk karena folikel rambut yang meradang akibat suatu infeksi. bisul umumnya memiliki mata di puncaknya sebab mengandung nanah. namun, di awal kemunculannya, mata ini tidak selalu tampak jelas. selain itu, bisul pun seringnya akan menyebabkan rasa gatal, nyeri, dan bengkak yang mengganggu.selain bisul, benjolan tak bermata mungkin juga muncul karena faktor lain, seperti jerawat, ektima, digigit serangga, skin tag, kutil, herpes, tumor, atau beragam gangguanmedis lainnya."
"di kehamilan ke6 bulan ini saya jadi sering sembelit nih dok, kemaren ada teman yang usulin untuk minum tablet obat laksatif, aman ga sih dok jika saya minum saya ngeri nih dok untuk janin saya, tapi saya butuh juga soalnya udah 3 hari saya belum bab. mohon pencerahanya. trims","karena pengaruh hormonal dan tekanan rektum oleh janin yang terus membesar, ibu hamil memang rentan mengalami sembelit. asal kondisi ini tidak sampai membuat anda mengalami mual, muntah, kolik, sulit buang angin, dan keluhan berat lainnya, sejatinya anda tidak perlu terburu mengkonsumsi obat. dan lagi, perlu juga anda pahami, bahwa konsumsi obat apapun selagi hamil, termasuk golongan obat laksatif pencahar, tidak tepat dilakukan sembarangan tanpa rekomendasi dari dokter."
"met siang dokter, dok saya punya temen cewe usianya 37 th, di payudara kanannya ada bisul deket puting tepatnya di bawah puting, awalnya benjolan kecil lama2 besar dan keluar nanah juga. belom di periksakan ke dokter sama sekali dok, dan tadi saya browsing2 itu kok gejalanya mirip sama kanker ya dok saya harus gimana dok ke temen saya harus menyarankan pengobatan gimana","benjolan bernanah yang terus membesar di kulit bawah puting payudara memang bisa saja disebabkan oleh bisul furuncle. namun bisa juga, benjolan ini terjadi karena pencetus lain, seperti kanker payudara, abses payudara, fistula, tumor jinak, dan sebagainya.tanpa memeriksanya langsung, agaknya sulit untuk kami membedakan beragam kemungkinan di atas."
"halo saya mau tanya. om saya punya penyakit kanker paruparu dan oleh dokter itu sudah harus di operasi, sebelum kankernya menyebar ke organ lain. akhirnya saya cari tau ternyata operasi untuk paruparu itu operasi besar, nah yg ingin saya tanyakan operasi besar itu apa apakah ada efek sampingnya untuk om saya dok terima kasih","ada macammacam operasi yang dibedakan berdasarkan tujuanm prosedur pelaksaaan hingga tingkat komplikasinya. namun umumnya, jenis operasi dibedakan jadi 2 yaitu bedah mayor operasi besar dan bedah minor operasi kecil. bedah mayor atau operasi besar berati pembedahaan yang melibatkan area kepala, dada dan perut yang dimana operasi ini memiliki resiko komplikasi yang tinggi dan membutuhkan waktu pemulihan yang lebih lama sedangkan operasi kecil atau bedah minor ialah operasi yang biasanya bisa pulang kerumah di hari yang sama tanpa rawat inap."
"halo dok, saya mau tanya. sudah 2 hari ibu saya diare dan sakit perut. sekarang sakit perutnya sudah hilang tapi masih diare. sudah minum oralit dan diatas tapi masih belum sembuh juga dok.. bagaimana cara yg efektif untuk mengatsi diare ya dok","diare dikatakan bila mengalami frekuensi bab lebih dari 3 kali sehari dan konsistensinya lebih cair dimana lebih banyak air dari pada ampas. gejala utama diare ialah perubahan frekeunsi dan konsistensi bab yang dapat disertai gejala lain berupa mulas, perut sakit, kembung, mual dan muntah."
"dear alo dokter, saya perempuan usia 27 tahun, ini kehamilan pertama saya dok. mohon pencerahan saya mendapatkan informasi bahwa buah belimbing tidak baik dikonsumsi oleh ibu hamil. apakah itu benar jika tidak, adakah manfaat jika saya konsumsi buah belimbing saat sedang hamil begini dok","alo, terima kasih atas pertanyaannya untuk alodokter.buah belimbing mengandung beragam jenis nutrisi dan vitamin yang meliputi karbohidrat, serat, protein, vitamin c, vitamin b5, vitamin b9, natrium, kalsium, tembaga, kalium, magnesium, dan antioksidan seperti beta karoten, asam galat, dan quercetin.beberapa kandungan tersebut tidaklah berbahaya pada kondisi kehamilan yang normal dimana dapat bermanfaat untuk menjaga kesehatan sistem pencernaan, mengendalikan kadar gula darah, meningkatkan daya tahan tubuh, memelihara kesehatan jantung, dan mengurangi risiko terkena penyakit kanker."
"assalamualaikum dok, sudah seminggu setiap kali berbaring saya merakan perut atas pusar suka berdetak seperti detakan jantung.. tapi itu cuma terasa saat saya dalam posisi telentang aja dok, kalo lagi tiduran miring kanankiri atau duduk tidak terasa dok.. penyebabnya apa ya dok","waalaikumsalam, selamat siangperut yang berdetak atau terasa berdenyut seperti detakan jantung saat berbaring telentang kondiis ini dapat disebabkan karena pada perut terdapat pembuluh darah yang fungsinya untuk menyalurkan darah dari jantung ke seluruh tubuh. dimana aliran darah yang melewati perut tersebut yang menimbulkan denyutan atau detakan pada perut jadi hal ini merupakan hal yang normal dan wajar. dimana detakan diperut ini kaan lebih terasa bila pada orang dengan kondisi badan kurus, saat berbaring, saat istirahat dan lainnya."
"alodokter dok saya wanita usia 33 tahun, saya tiap malam suka bolakbalik bak, merasa haus padahal minum cukup, tangan kaki juga kesemutan. apakah itu tandatanda diabetes pada wanita dokter","selamat siang, terima kasih telah bertanya di alodokter. berkalikali buang air kecil, merasa haus dan kesemutan, memang bisa ditemui pada penderita diabetes. namun adanya gejala ini bukan menjadi penentu dari tegaknya diagnosa diabetes. untuk memastikan bahwa gejala yang dialami seseorang memang disebabkan oleh diabetes, dokter tetap membutuhkan pemeriksaan penunjang berupa pemeriksaan lab, seperti pemeriksaan kadar gula darah sewaktu, kadar gula darah puasa, dan kadar gula darah 2 jam pasca makan."
"pagi dokter, saya udah beberapa minggu belakangan ngerasa gatal di puting susu saya dok yg gatal itu di puting sebelah kiri.. gejala apakah yg sedang saya alami ini dok","alo, terima kasih atas pertanyaanya untuk alodokter.kondisi puting payudara yang gatal bisa disebabkan oleh banyak kemungkinan penyebab yaitu seperti karena sedang mengalami kehamilan, adanya peradangan pada payudara yang disebut mastitis, adanya eksim, infeksi jamur, iritasi dari penggunaan sabun atau pakaian tertentu, ataupun karena tumor.gejala tersebut bisa saja diatasi sementara dengan penggunaan losion pelembab kulit yang mengandung bahan yang bersifat soothing agent seperti calamine, ceramide, urea, panthenol, aloe vera, petroleum jelly, atau calendula."
"dok, barusan saya terbangun karena telinga saya kemasukan semut. terus saya panik dan mengorek kuping dengan cotton bud, tp setelah itu saya takut. akhirnya saya cari di internet cara mengeluarkan semut dari dalam telinga. akahirnya saya pakai cara dengan memasukkan baby oil. tapi tidak keluar juga semutnya. bagaimana caranya mengeluarkan semut dari dalam telinga ya dok","kemasukan semut ke dalam telinga tidak hanya bisa menyebabkan suarasuara mengganggu. hal ini bisa juga membuat telinga meradang, hingga terasa nyeri, membengkak, berdengung, dan mengeluarkan sekret berlebih.kondisi anda sebaiknya tidak ditangani sembarangan. salahsalah, penanganan yang tidak tepat malah bisa memperparah peradangan di telinga anda.baiknya, anda periksalah langsung ke dokter atau dokter tht terdekat agar dilakukan penanganan lebih lanjut, seperti dengan irigasi telinga, ekstraksi corpus alienum menggunakan alat khusus, atau juga diberikan obat tertentu."
"halllo dokter, dok saya bumil kehamilan usianya sekarang 7 bulan. tapi suka mengalami kaki bengkak dan tangan kebas dok. apa itu gapapa ya dok normal kah dok itu sama bumil usia segini saya mau nanya dong dokter, cara mengatasi kaki bengkak saat hamil 7 bulan. gomawo dokter alo","alo, selamat siangkaki bengkak atau edema pada ibu hamil sebagian besar memang mengalami hal ini, kondisi ini umum terjadi dan pada umumnya sering terjadi pada ibu hamil memasuki trimester kedua dan ketiga jadi untuk usia kehamilan bunda hal yang wajar mengalami kondisi kaki bengkak. kaki bengkak pada ibu hamil terjadi karena tubuh ibu memproduksi lebih banyak cairan tubuh untuk memenuhi kebutuhan nutrisi janin."
"saya seorang remaja umur 17 tahun, saya barusan minum tramadol sebanyak 2 butir, apakah tidak apa adakah bahaya ke depannya","selamat sore, terima kasih telah bertanya di alodokter. tramadol adalah obat yang digunakan untuk meredakan nyeri sedang hingga berat, dan tergolong obat keras sehingga dalam menggunakannya harus melalui resep dan dalam pengawasan dokter. ini karena obat ini memiliki sejumlah efek samping dan interaksi obat yang bagi sebagian orang terutama dengan kondisi klinis tertentu, bisa saja berbahaya.mengenai pertanyaan anda, mengonsumsinya lebih dari aturan pakai memang meningkatkan risiko efek samping, namun reaksi tiap orang terhadap dosis ini bisa berbeda."
"halo dok, saya wanita 27 tahun dan baru saja mengalami flu. hidung saya tersumbat, beringus dan batuk berdahak. apa yang harus saya lakukan agar flu nya tdk semakin parah dan flu nya hilang. terima kasih mohon bantuannya ya dok","alo, selamat siangkeluhan pilek batuk sering kerap terjadi dimana hal ini bisa disebabkan karen infeksi saluran pernapasan yang disebabkan oleh virus sepertihuman rhinovirushrv, influenza flu, corona virus dan lainnya. hal ini lebih mudah menyerang pada orang yang mengalami daya tahan tubuh yang lemah atau rendah, dimana penluran terjadi akibat menghirup percikan air liur dari batuk atau bersin pada penderita sakit, akibat menyentuh permukaan benda yang terkontaminasi virus lalu menyentuh mulut dan hidung."
"seminggu ini sering banget ujan saat sore hari di daerah saya dok, saya gada demam, tapi badan ini terasa kedinginan sampe nembus tulang bahkan saya sampe menggigil ini dokter. saya udah coba langsung minum teh hangat untuk menetralkan tubuh saya namun gak berlangsung lama dokter. kirakira cara menghilangkan rasa dingin pada tubuh bagaimana dokter","rasa dingin hingga menggigil di tubuh bisa muncul karena banyak faktor, seperti paparan cuaca dingin, anemia, hipotensi, infeksi, hipoglikemia, dehidrasi, gangguan cemas, gangguan kelenjar tiroid, alergi, dispepsia, gangguan autoimun, diabetes, gangguan syaraf, lemah jantung, gangguan psikosomatis, dan lain sebagainya.penanganan atas keluhan yang anda rasakan sejatinya baru bisa dipastikan usai penyebabnya diketahui. oleh karena itu, lebih aman anda periksalah langsung ke dokter terdekat atau berkonsultasilah dulu dengan dokter kami di aplikasi alodokter ya.."
"saya seorang ibu menyusui dokter, bayi saya kalo nyusu itu kuat banget, nah masalahnya volume asi dari payudara saya itu dikit, kadang bayi saya belum kenyang dan masih pake bantuan sufor. mau nanyain dong dokter cara gar asi saya banyak dan kental saya harus minum dan makan apa apakah ada rekomendasinya","selamat sore, terima kasih telah bertanya di alodokter. kami memahami kekhawatiran anda. memang banyak ibu yang merasa cemas bahwa asinya tidak akan cukup memenuhi kebutuhan nutrisi anaknya. namun yang perlu diingat, lambung bayi juga masih sangat kecil dan kebutuhan mereka juga tidak sebanyak apa yang orangtua mereka duga."
"pagi dok, istri saya alhamdulillah lagi hamil dok, usianya 8 minggu. saya kan punya turunan kembar, dan kami berharap kami bisa punya turunan kembar. kira di usia berapa janin kami bisa diketahui kembar atau tidak dok","alo, terima kasih atas pertanyaannya untuk alodokter.kehamilan kembar dapat ditandai dengan adanya gejala kehamilan yang lebih berat dari kehamilan biasa, seperti rasa mual, lelah, dan mood swing yang lebih berat, kenaikan berat badan drastis, perut terihat lebih besar dari usia kehamilannya, sering merasa sesak napas dan detak jantung cepat, serta rasa tidak nyaman atau pegal pada beberapa bagian tubuh."
"siang dokter. saya punya baby berusia 14 hari.. bb lahir 3,1 kg. kemarin saat ke kontrol ke dokter katanya masih kuning.. saya dianjurkan untuk cek lab. saat hasil lab keluar ternyata kadar bilirubin 15.. apakah itu tergolong tinggi dok berapa nilai normal bilirubin pada bayi usia 2 minggu apa yg harus saya lakukan dok saya belum sempat konsul ke dokter lagi. mohon bantuannya dok. terima kasih","alo, terima kasih atas pertanyaannya untuk alodokter.kondisi bayi yang kuning dapat normal terjadi sejak 24 jam setelah bayi lahir hingga kurang dari waktu 2 minggu.pada kondisi bayi yang masih kuning hingga lebih dari waktu 2 minggu, maka dikhawatirkan dapat disebabkan oleh kemungkinan penyakit tertentu, seperti gangguan organ hati atau saluran empedu, infeksi, kelainan genetik, ketidaksesuaian golongan darah atau resus dengan ibu, kelainan darah, atau kurangnya asupan asi yang cukup."
"selamat sore dok.. saya mau tanya, di sekitar anus saya muncul benjolan lunak, tidak terasa sakit atau apapun saat ditekan. apakah benjolan ini termasuk wasir dok apa yg harus saya lakukan agar benjolan ini cepat hilang dok.. mohon infonya","alo, terima kasih atas pertanyaannya untuk alodokter.munculnya benjolan pada anus memang umumnya disebabkan oleh kondisi wasir atau ambeien, yang dapat terjadi jika memiliki pola hidup tidak sehat seperti kurangnya asupan serat, sering mengalami konstipasi atau sembelit, memiliki berat badan berlebih, jarang berolahraga, sering mengangkat beban berat, riwayat melahirkan normal, atau sering melakukan seks anal."
